0,"(['Aunt Petunia'], [3])"
1,"(['Great Uncle Algie', 'Uncle Algie'], [6, 3])"
2,"(['Angelina Johnson'], [3])"
3,"(['James Potter'], [3])"
4,"(['Baron', 'Bloody Baron'], [5, 12])"
5,"(['Bettie Bott'], [3])"
6,"(['Professor Binns'], [4])"
7,"(['Charlie'], [12])"
8,"(['Dedalus Diggle'], [8])"
9,"(['Doris Crockford'], [3])"
10,"(['Dudley'], [86])"
11,"(['Dumbledore', 'Albus Dumbledore'], [120, 7])"
12,"(['Dursley'], [48])"
13,"(['Figg'], [8])"
14,"(['Filch'], [4])"
15,"(['Flitwick', 'Professor Flitwick'], [12, 30])"
16,"(['Fred', 'Fred Weasley'], [12, 4])"
17,"(['Nicolas Flamel'], [22])"
18,"(['Seamus Finnigan', 'Seamus'], [12, 12])"
19,"(['George', 'George Weasley'], [16, 8])"
20,"(['Ginny'], [4])"
21,"(['Goyle'], [7])"
22,"(['Griphook'], [5])"
23,"(['Great Hall', 'Hall', 'the Great Hall', 'the Hall'], [5, 7, 26, 42])"
24,"(['H. Potter', 'Harry', 'Harry Potter', 'Potter'], [5, 539, 27, 57])"
25,"(['Hagrid'], [105])"
26,"(['Hufflepuff'], [11])"
27,"(['Madam Hooch'], [3])"
28,"(['Nearly Headless Nick'], [8])"
29,"(['Knuts'], [5])"
30,"(['Lee Jordan'], [8])"
31,"(['Longbottom'], [6])"
32,"(['Madam Malkin'], [12])"
33,"(['Marcus Flint'], [4])"
34,"(['Marge'], [4])"
35,"(['McGonagall', 'Professor McGonagall', 'Professor McGonagall Harry'], [81, 188, 4])"
36,"(['Miss Granger', 'Granger', 'Hermione Granger', 'Hermione'], [3, 4, 34, 168])"
37,"(['Neville'], [57])"
38,"(['Nicolas', 'Sir Nicholas'], [3, 6])"
39,"(['Norbert'], [20])"
40,"(['Norris'], [12])"
41,"(['the Next Door'], [4])"
42,"(['Ollivander'], [18])"
43,"(['Percy'], [17])"
44,"(['Quirrell'], [71])"
45,"(['Ron', 'Ronald Weasley', 'Ronan', 'ickle Ronnie', 'Weasley'], [383, 3, 14, 4, 21])"
46,"(['Slytherin', 'Slytherins', 'the Slytherins'], [5, 3, 14])"
47,"(['Snape'], [161])"
48,"(['Uncle Vernon', 'Vernon'], [168, 11])"
49,"(['Voldemort'], [29])"
